iter	Passed	Remaining
409	9082	13070
410	9094	13032
411	9105	12995
412	9117	12958
413	9128	12921
414	9139	12884
415	9152	12848
416	9162	12810
417	9174	12773
418	9185	12737
419	9197	12700
420	9208	12664
421	9219	12628
422	9230	12591
423	9241	12554
424	9270	12542
425	9305	12538
426	9339	12532
427	9376	12531
428	9412	12527
429	9446	12522
430	9482	12518
431	9498	12488
432	9510	12453
433	9522	12418
434	9534	12383
435	9545	12348
436	9557	12313
437	9570	12279
438	9582	12244
439	9593	12209
440	9604	12174
441	9616	12140
442	9628	12106
443	9640	12072
444	9652	12038
445	9664	12004
446	9675	11970
447	9687	11936
448	9698	11901
449	9710	11868
450	9720	11832
451	9729	11796
452	9739	11761
453	9749	11725
454	9759	11689
455	9769	11655
456	9780	11620
457	9790	11586
458	9800	11551
459	9811	11517
460	9821	11482
461	9831	11448
462	9841	11414
463	9851	11380
464	9861	11345
465	9871	11311
466	9900	11299
467	9911	11266
468	9922	11233
469	9933	11201
470	9945	11170
471	9958	11139
472	9968	11107
473	9981	11076
474	9993	11045
475	10005	11014
476	10017	10983
477	10029	10952
478	10041	10922
479	10054	10892
480	10070	10865
481	10081	10833
482	10093	10803
483	10105	10773
484	10116	10742
485	10135	10719
486	10146	10688
487	10157	10657
488	10169	10626
489	10179	10595
490	10190	10563
491	10201	10532
492	10212	10502
493	10223	10471
494	10234	10441
495	10246	10411
496	10259	10383
497	10271	10354
498	10282	10323
499	10294	10294
500	10306	10264
501	10318	10235
502	10329	10206
503	10341	10176
504	10352	10147
505	10362	10117
506	10375	10088
507	10386	10059
508	10398	10030
509	10409	10000
510	10420	9971
511	10431	9942
512	10443	9913
513	10455	9885
514	10470	9860
515	10482	9832
516	10496	9806
517	10507	9776
518	10521	9751
519	10532	9722
520	10543	9693
521	10554	9665
522	10564	9635
523	10575	9606
524	10587	9579
525	10598	9550
526	10609	9522
527	10621	9494
528	10631	9465
529	10643	9438
530	10654	9410
531	10665	9382
532	10676	9354
533	10686	9325
534	10697	9298
535	10709	9270
536	10720	9242
537	10730	9214
538	10742	9187
539	10754	9161
540	10764	9132
541	10775	9105
542	10787	9078
543	10798	9051
544	10808	9023
545	10819	8996
546	10830	8968
547	10840	8941
548	10852	8915
549	10864	8888
550	10876	8863
551	10887	8836
552	10899	8810
553	10910	8783
554	10922	8757
555	10933	8731
556	10944	8704
557	10957	8679
558	10968	8653
559	10980	8627
560	10992	8601
561	11008	8579
562	11019	8553
563	11031	8527
564	11042	8502
565	11055	8477
566	11066	8451
567	11078	8425
568	11092	8402
569	11102	8375
570	11114	8350
571	11124	8323
572	11135	8297
573	11146	8272
574	11157	8247
575	11169	8221
576	11179	8195
577	11190	8170
578	11201	8144
579	11212	8119
580	11222	8093
581	11234	8068
582	11257	8052
583	11268	8027
584	11286	8006
585	11297	7981
586	11307	7955
587	11318	7930
588	11328	7904
589	11350	7887
590	11361	7862
591	11372	7838
592	11383	7813
593	11394	7788
594	11406	7763
595	11417	7739
596	11428	7714
597	11439	7689
598	11450	7665
599	11461	7640
600	11472	7616
601	11483	7591
602	11494	7567
603	11507	7544
604	11519	7520
605	11529	7496
606	11540	7471
607	11550	7447
608	11562	7423
609	11573	7399
610	11584	7375
611	11595	7351
612	11615	7333
613	11625	7308
614	11636	7284
615	11647	7261
616	11659	7237
617	11670	7213
618	11681	7189
619	11692	7166
620	11703	7142
621	11715	7119
622	11726	7096
623	11737	7072
624	11749	7049
625	11762	7027
626	11775	7004
627	11787	6982
628	11798	6959
629	11810	6936
630	11821	6912
631	11832	6890
632	11844	6866
633	11857	6845
634	11870	6823
635	11883	6801
636	11894	6778
637	11907	6756
638	11918	6733
639	11930	6710
640	11943	6689
641	11955	6666
642	11967	6644
643	12019	6644
644	12030	6621
645	12041	6598
646	12052	6575
647	12063	6552
648	12074	6530
649	12086	6507
650	12098	6486
651	12110	6464
652	12121	6441
653	12132	6418
654	12142	6395
655	12153	6373
656	12165	6351
657	12177	6329
658	12187	6306
659	12198	6283
660	12208	6261
661	12219	6238
662	12229	6216
663	12240	6193
664	12251	6171
665	12262	6149
666	12273	6127
667	12284	6105
668	12295	6083
669	12307	6061
670	12318	6039
671	12328	6017
672	12340	5995
673	12351	5974
674	12362	5952
675	12375	5931
676	12386	5909
677	12398	5888
678	12409	5866
679	12421	5845
680	12431	5823
681	12442	5801
682	12453	5780
683	12464	5758
684	12476	5737
685	12487	5715
686	12498	5694
687	12509	5672
688	12521	5651
689	12531	5630
690	12542	5608
691	12553	5587
692	12565	5566
693	12577	5545
694	12588	5524
695	12602	5504
696	12614	5483
697	12623	5461
698	12634	5440
699	12644	5419
700	12655	5397
701	12665	5376
702	12676	5355
703	12686	5334
704	12697	5313
705	12709	5292
706	12719	5271
707	12730	5250
708	12740	5229
709	12751	5208
710	12762	5187
711	12772	5166
712	12783	5145
713	12794	5124
714	12804	5103
