iter	MultiClass
0	2.458848261
1	2.440751337
2	2.41776728
3	2.391770624
4	2.367717372
5	2.344815415
6	2.322349076
7	2.303028478
8	2.277926015
9	2.257816821
10	2.240071119
11	2.226209792
12	2.206132467
13	2.186970398
14	2.172384076
15	2.159260978
16	2.142706407
17	2.125108297
18	2.106708628
19	2.092709567
20	2.080270683
21	2.06620424
22	2.050172249
23	2.035682341
24	2.022866038
25	2.010547199
26	1.998725013
27	1.98695306
28	1.975794429
29	1.961679509
30	1.951896195
31	1.9387681
32	1.929178694
33	1.919505972
34	1.910041201
35	1.897678612
36	1.887863159
37	1.878638479
38	1.869306041
39	1.857977673
40	1.848224876
41	1.839332918
42	1.831812226
43	1.822957402
44	1.816913031
45	1.807293107
46	1.800363591
47	1.791912113
48	1.791825421
49	1.78338488
50	1.778130995
51	1.778052271
52	1.77021695
53	1.764115325
54	1.75849631
55	1.752349583
56	1.746419451
57	1.738186051
58	1.732787006
59	1.725490874
60	1.718462109
61	1.710222362
62	1.70501709
63	1.698893589
64	1.694124475
65	1.688671956
66	1.685190522
67	1.683074411
68	1.677730729
69	1.671775615
70	1.665489939
71	1.659777076
72	1.654122952
73	1.647412595
74	1.640712097
75	1.636504317
76	1.631753027
77	1.626662533
78	1.622341055
79	1.616103181
80	1.611819647
81	1.606900646
82	1.603837545
83	1.599174297
84	1.595518669
85	1.592715103
86	1.589143871
87	1.586710702
88	1.581792916
89	1.577507087
90	1.57327203
91	1.569766154
92	1.566447165
93	1.563098739
94	1.561124819
95	1.557764914
96	1.554961753
97	1.551297213
98	1.54826571
99	1.542611046
100	1.53811497
101	1.534614766
102	1.531428649
103	1.528819937
104	1.525033596
105	1.519105219
106	1.514484777
107	1.510178287
108	1.507198503
109	1.503413918
110	1.498473311
111	1.495101794
112	1.491303841
113	1.487363292
114	1.484685712
115	1.481414795
116	1.477961852
117	1.475776065
118	1.471471196
119	1.468461028
120	1.466834684
121	1.464158185
122	1.460145663
123	1.457226238
124	1.454720421
125	1.452970252
126	1.450947179
127	1.449066567
128	1.446635829
129	1.443629172
130	1.441039094
131	1.437955198
132	1.435847595
133	1.432758298
134	1.429255933
135	1.42749469
136	1.424820892
137	1.421637476
138	1.420056503
139	1.417722719
140	1.414556453
141	1.41082129
142	1.407638685
143	1.405259664
144	1.402250577
145	1.401198126
146	1.399006261
147	1.39577923
148	1.394391355
149	1.390490102
150	1.387394458
151	1.384776428
152	1.383243122
153	1.380318836
154	1.378831982
155	1.376377342
156	1.373298307
157	1.370863383
158	1.368906477
159	1.366035259
160	1.363007942
161	1.361002154
162	1.358365084
163	1.357393518
164	1.354795203
165	1.351934922
166	1.349578857
167	1.347630594
168	1.346289441
169	1.344083533
170	1.341653199
171	1.338869888
172	1.337429485
173	1.335246939
174	1.333274774
175	1.331415497
176	1.328983273
177	1.328156328
178	1.326205228
179	1.324229823
180	1.322040929
181	1.319944534
182	1.318120366
183	1.315731082
184	1.312854058
185	1.311201653
186	1.308659916
187	1.307376153
188	1.305057627
189	1.303100046
190	1.300502541
191	1.298270166
192	1.296909569
193	1.293631225
194	1.29075312
195	1.288479425
196	1.287626283
197	1.285755664
198	1.282536059
199	1.281496571
200	1.279183177
201	1.277158349
202	1.275061143
203	1.273032534
204	1.271081705
205	1.269037027
206	1.266155682
207	1.264529608
208	1.262739874
209	1.260607694
210	1.259289497
211	1.257635336
212	1.255526652
213	1.25390679
214	1.252887557
215	1.25088528
216	1.248720692
217	1.246422152
218	1.244408261
219	1.241806976
220	1.239692215
221	1.238553208
222	1.236816001
223	1.235628381
224	1.23344975
225	1.232256324
226	1.230376387
227	1.229375789
228	1.228104313
229	1.226784495
230	1.225013395
231	1.222207534
232	1.220178925
233	1.218970105
234	1.217525651
235	1.215557267
236	1.214631477
237	1.213103708
238	1.211960919
239	1.210366308
240	1.208799379
241	1.207805667
242	1.206464919
243	1.205055439
244	1.203272997
245	1.201935895
246	1.200435132
247	1.199673408
248	1.198423673
249	1.196647036
250	1.194674061
251	1.193910312
252	1.192061433
253	1.19045953
254	1.189421257
255	1.18701739
256	1.185007821
257	1.183891094
258	1.182146191
259	1.180555631
260	1.179011522
261	1.177178712
262	1.175553989
263	1.1734846
264	1.172274294
265	1.170762054
266	1.169236175
267	1.167055383
268	1.165173556
269	1.16289338
270	1.161539128
271	1.160703811
272	1.1586459
273	1.157395624
274	1.156403263
275	1.154894668
276	1.153646824
277	1.152936412
278	1.152133503
279	1.151240931
280	1.149495893
281	1.147646339
282	1.146415103
283	1.144601062
284	1.143212783
285	1.141716341
286	1.140434063
287	1.139130449
288	1.13722202
289	1.134596158
290	1.133608793
291	1.132077377
292	1.130416668
293	1.129425049
294	1.12842418
295	1.126883448
296	1.125902767
297	1.124543857
298	1.123152134
299	1.121931228
300	1.12107336
301	1.119873452
302	1.118795142
303	1.117463914
304	1.115874839
305	1.114623753
306	1.113671227
307	1.112744087
308	1.111433316
309	1.109861256
310	1.109104528
311	1.10823876
312	1.106700121
313	1.10580944
314	1.10444182
315	1.102662618
316	1.101203243
317	1.099579398
318	1.098543015
319	1.097407721
320	1.095751264
321	1.094735205
322	1.093679512
323	1.092524706
324	1.091460709
325	1.090279571
326	1.088710751
327	1.087411526
328	1.086170163
329	1.08484832
330	1.083199965
331	1.081994791
332	1.08106279
333	1.079538936
334	1.078957212
335	1.078265637
336	1.077469817
337	1.075613174
338	1.073865367
339	1.072610838
340	1.071900359
341	1.07041364
342	1.069677775
343	1.068806606
344	1.067678131
345	1.066611501
346	1.06533908
347	1.064321265
348	1.062593173
349	1.061234871
350	1.060258848
351	1.059030719
352	1.058135446
353	1.056754593
354	1.055629359
355	1.054782564
356	1.054039542
357	1.053144877
358	1.052441757
359	1.051690161
360	1.050652563
361	1.048887607
362	1.047853858
363	1.046192811
364	1.045297201
365	1.044362431
366	1.043887383
367	1.04246602
368	1.041608287
369	1.040416549
370	1.03906439
371	1.037399089
372	1.036388093
373	1.035485867
374	1.034542117
375	1.033626185
376	1.032522961
377	1.031885873
378	1.031278087
379	1.030584555
380	1.029485652
381	1.028575188
382	1.027211957
383	1.026642251
384	1.025405479
385	1.024050687
386	1.023140089
387	1.02174661
388	1.020584647
389	1.019504041
390	1.018278274
391	1.017131704
392	1.015904452
393	1.015175338
394	1.014002437
395	1.013155237
396	1.012018254
397	1.010751032
398	1.009662324
399	1.008650586
400	1.0080455
401	1.006859298
402	1.006147604
403	1.005172054
404	1.004535911
405	1.003828268
406	1.003199957
407	1.002260461
408	1.001576044
409	1.000676653
410	0.9995082079
411	0.9985357639
412	0.9970565391
413	0.9958637879
414	0.9952919209
415	0.9939714955
416	0.9929515197
417	0.9923008606
418	0.991136399
419	0.9901771208
420	0.9893004831
421	0.9879204404
422	0.9869193018
423	0.9861163249
424	0.9848694928
425	0.9840979787
426	0.983241326
427	0.9823664437
428	0.9814718466
429	0.9806462516
430	0.9795663209
431	0.9783377183
432	0.9772700082
433	0.9763229505
434	0.9757240768
435	0.9749795019
436	0.974250996
437	0.9732790246
438	0.972805057
439	0.9722249529
440	0.9707148054
441	0.9700512506
442	0.969483097
443	0.9688716652
444	0.9682232342
445	0.9674417951
446	0.9662904993
447	0.9656634035
448	0.9648145828
449	0.9642037586
450	0.9629215477
451	0.9617793666
452	0.9604667731
453	0.9597381997
454	0.9589828896
455	0.9580807306
456	0.9572055783
457	0.9560380109
458	0.9546395361
459	0.9536196278
460	0.9524815652
461	0.9513890089
462	0.9503470902
463	0.9494255539
464	0.9481203197
465	0.9476578974
466	0.9470559179
467	0.9463333535
468	0.9455380735
469	0.945115081
470	0.9443256074
471	0.9430334041
472	0.942471597
473	0.941760578
474	0.9408852906
475	0.9399260124
476	0.9393500269
477	0.9387717458
478	0.9382310715
479	0.9374763016
480	0.936767173
481	0.9357009483
482	0.9347272215
483	0.9341572449
484	0.9333560235
485	0.9323912089
486	0.9316633782
487	0.9312086527
488	0.9300477695
489	0.9290154381
490	0.9284017107
491	0.9273798445
492	0.9268173623
493	0.9256816628
494	0.9251943943
495	0.9245305694
496	0.924001373
497	0.923318711
498	0.9220792382
499	0.9212859837
500	0.9201850554
501	0.9191369251
502	0.9184111198
503	0.9174758776
504	0.9164588726
505	0.9154706297
506	0.9145116215
507	0.9135738136
508	0.912922952
509	0.9124308898
